Name,AKA,Cohort,Graduation Year,Dissertation title,Advisor,ORCHID ID,ORCHID Notes,Google Schoar ID,Google Scholar Notes,Current institution,Website
Allyson Volinsky,Allyson Levin / Allyson Carol Volinsky,2014,,Variation on a theme: Comparing strategies for choosing health communication campaign message topics,"Robert C. Hornik, Ph.D.",https://orcid.org/0000-0002-6062-8487,ORCID lists name as Allyson Levin / Allyson Carol Volinsky,https://scholar.google.com/citations?user=t5v7we4AAAAJ,Profile appears as Allyson Volinsky Levin,"Villanova University: Villanova, PA, US",
David Elliot Berman,,2014,,The Optimizers: Cultural Production in the Age of Platform Capitalism,"Victor Pickard, Ph.D.",https://orcid.org/0000-0003-2846-6016,,https://scholar.google.com/citations?user=Zx3tAvoAAAAJ,,"Seton Hall University: South Orange, New Jersey, US",
Elisa Baek,,2014,,NA,,https://orcid.org/0000-0003-2834-1766,,,,"UCLA Life Sciences: Los Angeles, CA, US",
Elisabetta Ferrari,,2014,,The technological imaginaries of social movements: the discursive dimension of communication technology and the fight for social justice,"Guobin Yang, Ph.D.",https://orcid.org/0000-0003-2576-7745,,,,,
Hye-Yon Lee,,2014,,How the Public Perception of Political Polarization Affects American Social Life,"Guobin Yang, Ph.D.",https://orcid.org/0000-0002-0274-2361,,,,,
Jasmine Erdener,,2014,,"Excavating Radical Futures – Puppets, Robots, and the Fight for Technology","Guobin Yang, Ph.D.",https://orcid.org/0000-0002-6854-2450,,,,,https://cssh.ku.edu.tr/en/programs/media-and-visual-arts/faculty/?detail=true&id=jerdener
John Vilanova,,2014,,"Not Simply the Best: The GRAMMY Awards, Race, and America","John Jackson, Ph.D.",https://orcid.org/0000-0002-9155-2681,,,,,https://journalism.cas.lehigh.edu/faculty-staff/john-vilanova
Kecheng Fang,,2014,,Mapping Media Bias in China,"Michael X. Delli Carpini, Ph.D.",https://orcid.org/0000-0003-1674-1543,,,,"The Chinese University of Hong Kong: New Territories, HK ",
Natalie Herbert,,2014,,Covering Scientific Uncertainty in Ongoing Research,"Joseph N. Cappella, Ph.D.",https://orcid.org/0000-0003-3172-950X,,,,,
Opeyemi Akanbi,,2014,,NA,,,,,,,
Rachel Stonecipher,,2014,,NA,,,,,,,
Taylor-Rae Collins-Headley,,2014,,NA,,,,,,,
Yilang Peng,,2014,,Identifying media bias with computer vision,"Sandra González-Bailón, Ph.D.",https://orcid.org/0000-0003-2642-4760,,,,,
,,,,,,,,,,,
Christin Scholz,,2015,,,,,,,,,
Danny Kim,Da Eun Kim,2015,,,,,,,,,
David Larochelle,,2015,,,,,,,,,
Douglas Guilbeault,,2015,,,,,,,,,
Helene Langlamet,,2015,,,,,,,,,
Jazmyne Sutton,,2015,,,,,,,,,
Jennifer Henrichsen,,2015,,,,,,,,,
John Remensperger,,2015,,,,,,,,,
Leah Alexandra Ferentinos,,2015,,,,,,,,,
Megan Genovese,,2015,,,,,,,,,
Pawel Popiel,,2015,,,,,,,,,
Revati Prasad,,2015,,,,,,,,,
Rui Pei,,2015,,,,,,,,,
Soojong Kim,,2015,,,,,,,,,
Stefanie Gratale,,2015,,,,,,,,,
Subhayan Mukerjee,,2015,,,,,,,,,
,,,,,,,,,,,
Bruce Dore,,2016,,,,,,,,,
Celeste M. Wagner,Celeste Wagner,2016,,,,,,,,,
Do Eon Lee,Donna Lee,2016,,,,,,,,,
Eric Forbush,,2016,,,,,,,,,
Hanna E. Morris,,2016,,,,,,,,,
Kwanho Kim,,2016,,,,,,,,,
Leeann Siegel,,2016,,,,,,,,,
Mohammed A. Salih,,2016,,,,,,,,,
Prateekshit Pandey,Kanu Pandy,2016,,,,,,,,,
Sean Fischer,,2016,,,,,,,,,
Zane Cooper,,2016,,,,,,,,,
,,,,,,,,,,,
Alvin Zhou,,2017,,,,,,,,,
Chioma Woko,,2017,,,,,,,,,
Chloé Nurik,Chloe Nurik,2017,,,,,,,,,
Diami Virgilio,,2017,,,,,,,,,
Heather Jaber,,2017,,,,,,,,,
Jacob Parelman,,2017,,,,,,,,,
Lauren Bridges,,2017,,,,,,,,,
Muira McCammon,,2017,,,,,,,,,
Ryan Tsapatsaris,,2017,,,,,,,,,
Tian Yang,,2017,,,,,,,,,
Yao Sun,,2017,,,,,,,,,
Yasemin Celikkol,,2017,,,,,,,,,
